Chr	Start	End	Gene
chr12	6709694	6709840	CHD4
chr12	6710086	6710224	CHD4
chr12	6710449	6710701	CHD4
chr12	6710808	6710937	CHD4
chr12	6711120	6711346	CHD4
chr12	6711536	6711668	CHD4
chr12	6715434	6715544	CHD4
chr12	9013739	9013770	A2ML1
chr12	12240183	12240214	BCL2L14
chr12	12870768	12871253	CDKN1B;LOC101929220
chr12	12871753	12871885	CDKN1B
chr12	15095542	15095573	ARHGDIB
chr12	18872309	18872340	chr12:18.9Mb
chr12	21201647	21201678	SLCO1B7
chr12	21623122	21623285	PYROXD1;RECQL
chr12	21623897	21624037	PYROXD1;RECQL
chr12	21624356	21624586	RECQL
chr12	21626479	21626581	RECQL
chr12	21627769	21627918	RECQL
chr12	21628396	21628524	RECQL
chr12	21628604	21628763	RECQL
chr12	21629839	21629931	RECQL
chr12	21630731	21630908	RECQL
chr12	21636304	21636513	RECQL
chr12	21639407	21639524	RECQL
chr12	21643127	21643317	RECQL
chr12	21644447	21644655	RECQL
chr12	21652483	21652509	RECQL
chr12	25243099	25243130	LRMP
chr12	25362723	25362850	KRAS
chr12	25368369	25368499	KRAS
chr12	25378542	25378712	KRAS
chr12	25380162	25380351	KRAS
chr12	25398202	25398323	KRAS
chr12	27064216	27064247	ASUN
chr12	30814027	30814063	chr12:30.8Mb
chr12	31231113	31231227	DDX11
chr12	31231318	31231476	DDX11
chr12	31236741	31237000	DDX11
chr12	31237511	31237608	DDX11
chr12	31237897	31238065	DDX11
chr12	31240866	31240922	DDX11
chr12	31241972	31242090	DDX11
chr12	31242331	31242429	DDX11
chr12	31242814	31243033	DDX11
chr12	31244647	31244810	DDX11
chr12	31245774	31245831	DDX11
chr12	31246173	31246263	DDX11
chr12	31247518	31247573	DDX11
chr12	31247683	31247761	DDX11
chr12	31249269	31249318	DDX11
chr12	31249565	31249684	DDX11
chr12	31249787	31249929	DDX11
chr12	31250813	31250936	DDX11
chr12	31253563	31253646	DDX11
chr12	31253955	31254069	DDX11
chr12	31254761	31254921	DDX11
chr12	31255171	31255250	DDX11
chr12	31255355	31255466	DDX11
chr12	31255864	31255959	DDX11
chr12	31256245	31256334	DDX11
chr12	31256505	31256670	DDX11
chr12	31256735	31256972	DDX11
chr12	33576974	33577005	chr12:33.6Mb
chr12	38714984	38715015	ALG10B
chr12	39233755	39233786	CPNE8
chr12	42854189	42854220	PRICKLE1
chr12	46123614	46123716	ARID2
chr12	46123821	46123925	ARID2
chr12	46124994	46125102	ARID2
chr12	46205195	46205339	ARID2
chr12	46211447	46211676	ARID2
chr12	46215147	46215178	chr12:46.2Mb
chr12	46215197	46215275	ARID2
chr12	46230366	46230443	ARID2
chr12	46230518	46230779	ARID2
chr12	46231098	46231205	ARID2
chr12	46231275	46231495	ARID2
chr12	46233106	46233284	ARID2
chr12	46240633	46240725	ARID2
chr12	46242613	46242758	ARID2
chr12	46243357	46243564	ARID2
chr12	46243813	46246684	ARID2
chr12	46254578	46254737	ARID2
chr12	46285557	46285706	ARID2
chr12	46285788	46285884	ARID2
chr12	46287197	46287331	ARID2
chr12	46287407	46287509	ARID2
chr12	46298711	46298866	ARID2
chr12	48134365	48134397	chr12:48.1Mb
chr12	48367184	48367341	COL2A1
chr12	48367866	48368119	COL2A1
chr12	48368452	48368650	COL2A1
chr12	48369094	48369393	COL2A1
chr12	48369740	48369858	COL2A1
chr12	48370291	48370355	COL2A1
chr12	48370589	48370707	COL2A1
chr12	48370879	48370943	COL2A1
chr12	48371097	48371215	COL2A1
chr12	48371377	48371441	COL2A1
chr12	48371787	48371905	COL2A1
chr12	48372068	48372186	COL2A1
chr12	48372374	48372546	COL2A1
chr12	48373288	48373352	COL2A1
chr12	48373786	48373850	COL2A1
chr12	48374331	48374449	COL2A1
chr12	48374692	48374756	COL2A1
chr12	48375120	48375184	COL2A1
chr12	48375553	48375617	COL2A1
chr12	48375884	48375948	COL2A1
chr12	48376279	48376397	COL2A1
chr12	48376625	48376734	COL2A1
chr12	48376870	48376925	COL2A1
chr12	48377162	48377226	COL2A1
chr12	48377460	48377524	COL2A1
chr12	48377864	48377928	COL2A1
chr12	48378323	48378387	COL2A1
chr12	48378772	48378881	COL2A1
chr12	48379311	48379375	COL2A1
chr12	48379505	48379614	COL2A1
chr12	48379689	48379753	COL2A1
chr12	48380113	48380231	COL2A1
chr12	48380612	48380676	COL2A1
chr12	48380855	48380964	COL2A1
chr12	48381046	48381101	COL2A1
chr12	48381388	48381497	COL2A1
chr12	48383005	48383069	COL2A1
chr12	48383538	48383593	COL2A1
chr12	48386655	48386719	COL2A1
chr12	48387235	48387290	COL2A1
chr12	48387586	48387650	COL2A1
chr12	48387771	48387835	COL2A1
chr12	48388201	48388265	COL2A1
chr12	48389032	48389096	COL2A1
chr12	48389487	48389551	COL2A1
chr12	48389652	48389707	COL2A1
chr12	48390325	48390413	COL2A1
chr12	48391383	48391495	COL2A1
chr12	48391648	48391712	COL2A1
chr12	48391809	48391852	COL2A1
chr12	48391946	48391989	COL2A1
chr12	48392192	48392219	COL2A1
chr12	48393696	48393913	COL2A1
chr12	48398014	48398109	COL2A1
chr12	51380216	51380247	SLC11A2
chr12	54394481	54394512	HOXC9
chr12	56474079	56474171	ERBB3
chr12	56477529	56477691	ERBB3
chr12	56478773	56479101	ERBB3
chr12	56480309	56480445	ERBB3
chr12	56481355	56481431	ERBB3
chr12	56481573	56481702	ERBB3
chr12	56481799	56481951	ERBB3
chr12	56482321	56482445	ERBB3
chr12	56482526	56482657	ERBB3
chr12	56486525	56486609	ERBB3
chr12	56486764	56486865	ERBB3
chr12	56487123	56487339	ERBB3
chr12	56487542	56487685	ERBB3
chr12	56487877	56487978	ERBB3
chr12	56488180	56488345	ERBB3
chr12	56489035	56489099	ERBB3
chr12	56489443	56489595	ERBB3
chr12	56490281	56490411	ERBB3
chr12	56490526	56490635	ERBB3
chr12	56490823	56491019	ERBB3
chr12	56491563	56491729	ERBB3
chr12	56492278	56492364	ERBB3
chr12	56492537	56492694	ERBB3
chr12	56493426	56493534	ERBB3
chr12	56493616	56493818	ERBB3
chr12	56493952	56494034	ERBB3
chr12	56494839	56495150	ERBB3
chr12	56495307	56495844	ERBB3
chr12	57132170	57132202	chr12:57.1Mb
chr12	58142302	58142405	CDK4;TSPAN31
chr12	58142959	58143105	CDK4
chr12	58143231	58143292	CDK4
chr12	58144433	58144553	CDK4
chr12	58144700	58144878	CDK4
chr12	58144984	58145130	CDK4
chr12	58145277	58145505	CDK4
chr12	62104203	62104234	chr12:62.1Mb
chr12	63954288	63954319	DPY19L2
chr12	66546084	66546115	TMBIM4
chr12	69202252	69202276	MDM2
chr12	69202982	69203077	MDM2
chr12	69207328	69207413	MDM2
chr12	69210586	69210730	MDM2
chr12	69214066	69214159	MDM2
chr12	69218137	69218215	MDM2
chr12	69218329	69218436	MDM2
chr12	69222545	69222716	MDM2
chr12	69229603	69229769	MDM2
chr12	69230446	69230534	MDM2
chr12	69233048	69233634	MDM2
chr12	69265562	69265593	CPM
chr12	70915263	70915296	PTPRB
chr12	70918245	70918376	PTPRB
chr12	70925809	70925955	PTPRB
chr12	70928262	70928436	PTPRB
chr12	70928607	70928740	PTPRB
chr12	70929799	70929944	PTPRB
chr12	70931929	70932016	PTPRB
chr12	70932698	70932799	PTPRB
chr12	70933399	70933491	PTPRB
chr12	70933601	70933629	PTPRB
chr12	70933713	70933807	PTPRB
chr12	70934632	70934742	PTPRB
chr12	70938331	70938448	PTPRB
chr12	70946551	70946805	PTPRB
chr12	70948934	70949094	PTPRB
chr12	70949644	70949933	PTPRB
chr12	70953117	70953409	PTPRB
chr12	70954445	70954719	PTPRB
chr12	70956618	70956892	PTPRB
chr12	70960209	70960489	PTPRB
chr12	70963449	70963723	PTPRB
chr12	70964800	70965074	PTPRB
chr12	70965598	70965872	PTPRB
chr12	70970156	70970430	PTPRB
chr12	70974810	70975087	PTPRB
chr12	70980781	70981052	PTPRB
chr12	70983738	70984018	PTPRB
chr12	70986056	70986330	PTPRB
chr12	70988241	70988509	PTPRB
chr12	70989823	70990112	PTPRB
chr12	71002843	71003124	PTPRB
chr12	71003535	71003599	PTPRB
chr12	71016164	71016431	PTPRB
chr12	71029445	71029851	PTPRB
chr12	71031115	71031180	PTPRB
chr12	72030236	72030267	chr12:72.0Mb
chr12	77202782	77202813	chr12:77.2Mb
chr12	78570898	78570929	NAV3
chr12	81624948	81624979	chr12:81.6Mb
chr12	85449449	85449480	LRRIQ1
chr12	88178255	88178289	MKRN9P
chr12	90015563	90015596	ATP2B1
chr12	93147891	93147922	PLEKHG7
chr12	96337167	96337198	AMDHD1
chr12	99166789	99166820	ANKS1B
chr12	102079402	102079433	MYBPC1
chr12	105433591	105433622	chr12:105.4Mb
chr12	108956417	108956448	ISCU
chr12	112667659	112667690	HECTD4
chr12	112856910	112856934	PTPN11;RPL6
chr12	112884074	112884207	PTPN11
chr12	112888116	112888321	PTPN11
chr12	112890993	112891196	PTPN11
chr12	112892362	112892489	PTPN11
chr12	112893748	112893872	PTPN11
chr12	112910742	112910849	PTPN11
chr12	112915449	112915539	PTPN11
chr12	112915655	112915824	PTPN11
chr12	112919872	112920014	PTPN11
chr12	112924273	112924442	PTPN11
chr12	112926241	112926319	PTPN11
chr12	112926822	112926984	PTPN11
chr12	112939942	112940065	PTPN11
chr12	112942493	112942573	PTPN11
chr12	114793224	114793255	TBX5
chr12	117289597	117289628	chr12:117.3Mb
chr12	120189863	120189894	CIT
chr12	123001721	123001752	chr12:123.0Mb
chr12	126128855	126128886	chr12:126.1Mb
chr12	129189925	129189956	TMEM132C
chr12	132209916	132209949	chr12:132.2Mb
chr12	133201277	133201401	POLE
chr12	133201485	133201585	POLE
chr12	133202225	133202361	POLE
chr12	133202697	133202908	POLE
chr12	133208895	133209099	POLE
chr12	133209244	133209386	POLE
chr12	133210766	133210969	POLE
chr12	133212472	133212615	POLE
chr12	133214594	133214730	POLE
chr12	133215705	133215889	POLE
chr12	133218227	133218442	POLE
chr12	133218757	133218988	POLE
chr12	133219086	133219320	POLE
chr12	133219400	133219587	POLE
chr12	133219804	133219921	POLE
chr12	133219987	133220151	POLE
chr12	133220417	133220568	POLE
chr12	133225509	133225663	POLE
chr12	133225886	133226106	POLE
chr12	133226257	133226480	POLE
chr12	133233716	133233849	POLE
chr12	133233929	133234020	POLE
chr12	133234448	133234561	POLE
chr12	133235875	133236100	POLE
chr12	133237549	133237755	POLE
chr12	133238107	133238275	POLE
chr12	133240584	133240739	POLE
chr12	133240950	133241053	POLE
chr12	133241882	133242041	POLE
chr12	133244083	133244239	POLE
chr12	133244936	133245093	POLE
chr12	133245215	133245328	POLE
chr12	133245391	133245530	POLE
chr12	133248795	133248913	POLE
chr12	133249207	133249430	POLE
chr12	133249744	133249868	POLE
chr12	133250155	133250298	POLE
chr12	133251978	133252108	POLE
chr12	133252315	133252411	POLE
chr12	133252674	133252795	POLE
chr12	133253126	133253244	POLE
chr12	133253943	133254034	POLE
chr12	133254158	133254310	POLE
chr12	133256077	133256242	POLE
chr12	133256534	133256637	POLE
chr12	133256758	133256813	POLE
chr12	133257187	133257278	POLE
chr12	133257718	133257870	POLE
chr12	133263834	133263906	POLE
chr13	19753427	19753448	chr13:19.8Mb
chr13	21555543	21555564	chr13:21.6Mb
chr13	24798109	24798130	SPATA13
chr13	28143218	28143239	LNX2
chr13	31231795	31231816	USPL1
chr13	32660127	32660147	chr13:32.7Mb
chr13	32676104	32676124	FRY
chr13	32698534	32698554	chr13:32.7Mb
chr13	32705775	32705795	chr13:32.7Mb
chr13	32708983	32709003	chr13:32.7Mb
chr13	32758824	32758844	FRY
chr13	32776593	32776613	FRY
chr13	32785076	32785096	FRY
chr13	32811597	32811617	FRY
chr13	32813808	32813828	chr13:32.8Mb
chr13	32814014	32814034	FRY
chr13	32828543	32828563	chr13:32.8Mb
chr13	32832139	32832159	chr13:32.8Mb
chr13	32849306	32849326	chr13:32.8Mb
chr13	32852575	32852595	chr13:32.9Mb
chr13	32882902	32882922	chr13:32.9Mb
chr13	32884761	32884781	ZAR1L
chr13	32885644	32885668	ZAR1L
chr13	32890592	32890669	BRCA2
chr13	32893208	32893467	BRCA2
chr13	32899207	32899326	BRCA2
chr13	32900232	32900292	BRCA2
chr13	32900373	32900424	BRCA2
chr13	32900630	32900755	BRCA2
chr13	32903574	32903634	BRCA2
chr13	32905050	32905172	BRCA2
chr13	32906403	32907529	BRCA2
chr13	32910396	32915338	BRCA2
chr13	32918689	32918795	BRCA2
chr13	32920958	32921038	BRCA2
chr13	32928992	32929430	BRCA2
chr13	32930559	32930751	BRCA2
chr13	32931873	32932071	BRCA2
chr13	32936654	32936835	BRCA2
chr13	32937310	32937675	BRCA2
chr13	32944533	32944699	BRCA2
chr13	32945087	32945242	BRCA2
chr13	32950801	32950933	BRCA2
chr13	32953448	32953657	BRCA2
chr13	32953881	32954055	BRCA2
chr13	32954138	32954287	BRCA2
chr13	32968820	32969075	BRCA2
chr13	32971029	32971186	BRCA2
chr13	32972293	32972912	BRCA2
chr13	33017033	33017053	N4BP2L2
chr13	33095610	33095630	chr13:33.1Mb
chr13	33703645	33703666	STARD13
chr13	36402415	36402436	DCLK1
chr13	40229831	40229852	COG6
chr13	42032561	42032582	RGCC
chr13	45090467	45090488	chr13:45.1Mb
chr13	48671070	48671091	chr13:48.7Mb
chr13	48878043	48878190	RB1
chr13	48881410	48881547	RB1
chr13	48916729	48916855	RB1
chr13	48919210	48919340	RB1
chr13	48921955	48922004	RB1
chr13	48923086	48923164	RB1
chr13	48934147	48934268	RB1
chr13	48936945	48937098	RB1
chr13	48939024	48939112	RB1
chr13	48941624	48941744	RB1
chr13	48942657	48942745	RB1
chr13	48947535	48947633	RB1
chr13	48951048	48951175	RB1
chr13	48953724	48953791	RB1
chr13	48954183	48954225	RB1
chr13	48954295	48954382	RB1
chr13	48955377	48955584	RB1
chr13	49027123	49027252	RB1
chr13	49030334	49030490	RB1
chr13	49033818	49033974	RB1
chr13	49037861	49037976	RB1
chr13	49039128	49039252	RB1
chr13	49039335	49039509	RB1
chr13	49047490	49047531	RB1
chr13	49050831	49050984	RB1
chr13	49051485	49051545	RB1
chr13	49054128	49054212	RB1
chr13	51603757	51603778	GUCY1B2
chr13	55748662	55748683	MIR5007
chr13	60582640	60582661	chr13:60.6Mb
chr13	67800924	67800945	PCDH9
chr13	73349348	73349369	DIS3
chr13	75876378	75876399	TBC1D4
chr13	78216862	78216883	SCEL
chr13	83597923	83597944	chr13:83.6Mb
chr13	87045816	87045837	chr13:87.0Mb
chr13	92408494	92408515	chr13:92.4Mb
chr13	94938774	94938795	chr13:94.9Mb
chr13	97639403	97639424	OXGR1
chr13	99100536	99100557	FARP1
chr13	103275375	103275396	TPP2
chr13	103498611	103498709	ERCC5
chr13	103504462	103504648	ERCC5
chr13	103506101	103506227	ERCC5
chr13	103506632	103506729	ERCC5
chr13	103508396	103508467	ERCC5
chr13	103510619	103510773	ERCC5
chr13	103513851	103514069	ERCC5
chr13	103514374	103515458	ERCC5
chr13	103518011	103518266	ERCC5
chr13	103518606	103518736	ERCC5
chr13	103518976	103519200	ERCC5
chr13	103520457	103520612	ERCC5
chr13	103524542	103524753	ERCC5
chr13	103525603	103525698	ERCC5
chr13	103527651	103528258	ERCC5
chr13	106119435	106119456	DAOA
chr13	109661348	109661369	MYO16
chr13	111098215	111098236	COL4A2
chr13	114018027	114018048	chr13:114.0Mb
chr14	20470383	20470414	chr14:20.5Mb
chr14	21109125	21109156	OR6S1
chr14	23485834	23485849	PSMB5
chr14	23495292	23495589	PSMB5
chr14	23496948	23497043	PSMB5
chr14	23502571	23502888	PSMB5
chr14	23503887	23504095	PSMB5
chr14	23652148	23652268	SLC7A8
chr14	23652460	23652586	SLC7A8
chr14	24458146	24458177	DHRS4L2
chr14	29261293	29261324	C14orf23
chr14	30066913	30066944	PRKD1
chr14	33293106	33293137	AKAP6
chr14	36840679	36840710	chr14:36.8Mb
chr14	39703308	39703339	MIA2
chr14	42997947	42997978	chr14:43.0Mb
chr14	45605229	45605747	FANCM
chr14	45606266	45606449	FANCM
chr14	45609829	45609917	FANCM
chr14	45618034	45618203	FANCM
chr14	45620594	45620736	FANCM
chr14	45623117	45623260	FANCM
chr14	45623894	45624030	FANCM
chr14	45624570	45624667	FANCM
chr14	45628293	45628488	FANCM
chr14	45633556	45633773	FANCM
chr14	45636147	45636371	FANCM
chr14	45639786	45639954	FANCM
chr14	45642252	45642418	FANCM
chr14	45644268	45646184	FANCM
chr14	45650627	45650732	FANCM
chr14	45650834	45650913	FANCM
chr14	45652971	45653110	FANCM
chr14	45654414	45654581	FANCM
chr14	45656978	45657095	FANCM
chr14	45657999	45658570	FANCM
chr14	45665369	45665755	FANCM
chr14	45667841	45668143	FANCM
chr14	45669067	45669216	FANCM
chr14	47314922	47314953	chr14:47.3Mb
chr14	50065343	50065374	chr14:50.1Mb
chr14	51204980	51205011	NIN
chr14	54417506	54417537	BMP4
chr14	57082632	57082663	TMEM260
chr14	60004828	60004859	CCDC175
chr14	63269301	63269332	chr14:63.3Mb
chr14	65472916	65473007	MAX
chr14	65543188	65543386	MAX
chr14	65544124	65544151	MAX
chr14	65544625	65544759	MAX
chr14	65550892	65551022	MAX
chr14	65560420	65560538	LOC100506321;MAX
chr14	65568258	65568295	MAX
chr14	65569016	65569062	MAX
chr14	67814203	67814236	chr14:67.8Mb
chr14	68290255	68290349	RAD51B
chr14	68292175	68292299	RAD51B
chr14	68301791	68301918	RAD51B
chr14	68331714	68331861	RAD51B
chr14	68352580	68352710	RAD51B
chr14	68353732	68353926	RAD51B
chr14	68758595	68758702	RAD51B
chr14	68878135	68878249	RAD51B
chr14	68934883	68934972	RAD51B
chr14	68944359	68944386	RAD51B
chr14	68963835	68963862	RAD51B
chr14	69006911	69006941	RAD51B
chr14	69028709	69028802	RAD51B
chr14	69061173	69061325	RAD51B
chr14	69117496	69117527	chr14:69.1Mb
chr14	69149648	69149666	RAD51B
chr14	72201969	72202000	SIPA1L1
chr14	75276063	75276094	YLPM1
chr14	75483779	75483909	MLH3
chr14	75485526	75485688	MLH3
chr14	75489511	75489600	MLH3
chr14	75489692	75489726	MLH3
chr14	75497240	75497410	MLH3
chr14	75497413	75497454	chr14:75.5Mb
chr14	75498765	75498887	MLH3
chr14	75500116	75500198	MLH3
chr14	75505037	75505120	MLH3
chr14	75506608	75506723	MLH3
chr14	75508312	75508408	MLH3
chr14	75509076	75509185	MLH3
chr14	75513073	75516363	MLH3
chr14	78023503	78023534	chr14:78.0Mb
chr14	81297369	81297400	chr14:81.3Mb
chr14	88400337	88400368	GALC
chr14	90729968	90729999	chr14:90.7Mb
chr14	93118022	93118053	RIN3
chr14	95556829	95557005	DICER1
chr14	95557365	95557451	DICER1
chr14	95557534	95557707	DICER1
chr14	95560219	95560498	DICER1
chr14	95562156	95563055	DICER1
chr14	95566111	95566277	DICER1
chr14	95569677	95570468	DICER1
chr14	95571402	95571588	DICER1
chr14	95572009	95572125	DICER1
chr14	95572372	95572565	DICER1
chr14	95573939	95574103	DICER1
chr14	95574211	95574435	DICER1
chr14	95574655	95574845	DICER1
chr14	95577648	95577798	DICER1
chr14	95578503	95578589	DICER1
chr14	95579423	95579566	DICER1
chr14	95581998	95582163	DICER1
chr14	95582784	95583037	DICER1
chr14	95583953	95584096	DICER1
chr14	95590527	95591010	DICER1
chr14	95592911	95593090	DICER1
chr14	95595803	95595974	DICER1
chr14	95596389	95596534	DICER1
chr14	95597840	95597981	DICER1
chr14	95598846	95599019	DICER1
chr14	95599646	95599800	DICER1
chr14	96103083	96103114	chr14:96.1Mb
chr14	99876489	99876520	SETD3
chr14	103059204	103059235	RCOR1
chr14	105060008	105060039	chr14:105.1Mb
chr14	105242981	105243122	AKT1
chr14	105246410	105246569	AKT1
chr15	22929904	22929905	chr15:22.9Mb
chr15	25299293	25299324	chr15:25.3Mb
chr15	27182341	27182372	GABRA5
chr15	31197548	31197579	FAN1
chr15	33191007	33191038	FMN1
chr15	36946287	36946318	C15orf41
chr15	40030424	40030455	chr15:40.0Mb
chr15	40453416	40453461	BUB1B
chr15	40457248	40457402	BUB1B
chr15	40462257	40462327	BUB1B
chr15	40462732	40462887	BUB1B
chr15	40468672	40468879	BUB1B
chr15	40475909	40476089	BUB1B
chr15	40477360	40477585	BUB1B
chr15	40477746	40477848	BUB1B
chr15	40488740	40488980	BUB1B
chr15	40491810	40491933	BUB1B
chr15	40492439	40492565	BUB1B
chr15	40493126	40493186	BUB1B
chr15	40494600	40494671	BUB1B
chr15	40494784	40494900	BUB1B
chr15	40498379	40498664	BUB1B
chr15	40500832	40500976	BUB1B
chr15	40501830	40501981	BUB1B
chr15	40502305	40502416	BUB1B
chr15	40504694	40504854	BUB1B
chr15	40505527	40505680	BUB1B
chr15	40509691	40509873	BUB1B;PAK6
chr15	40510651	40510768	BUB1B
chr15	40512759	40512965	BUB1B
chr15	40990951	40991048	RAD51
chr15	40993256	40993404	RAD51
chr15	40993998	40994129	RAD51
chr15	40998369	40998497	RAD51
chr15	41001217	41001319	RAD51
chr15	41010997	41011102	RAD51
chr15	41020903	41021027	RAD51
chr15	41021697	41021837	RAD51
chr15	41022045	41022177	RAD51
chr15	41023247	41023381	RAD51
chr15	42127442	42127443	chr15:42.1Mb
chr15	43699575	43699773	TP53BP1;TUBGCP4
chr15	43700135	43700291	TP53BP1
chr15	43701089	43701299	TP53BP1
chr15	43701839	43701944	TP53BP1
chr15	43705311	43705537	TP53BP1
chr15	43707786	43708012	TP53BP1
chr15	43708417	43708619	TP53BP1
chr15	43712497	43712938	TP53BP1
chr15	43713217	43713377	TP53BP1
chr15	43714047	43714329	TP53BP1
chr15	43720208	43720371	TP53BP1
chr15	43724386	43724880	TP53BP1
chr15	43730516	43730619	TP53BP1
chr15	43733718	43733786	TP53BP1
chr15	43738579	43738793	TP53BP1
chr15	43739558	43739688	TP53BP1
chr15	43748084	43749421	TP53BP1
chr15	43762050	43762269	TP53BP1
chr15	43766865	43766970	TP53BP1
chr15	43767757	43767897	TP53BP1
chr15	43769785	43769962	TP53BP1
chr15	43771589	43771729	TP53BP1
chr15	43772051	43772220	TP53BP1
chr15	43773087	43773225	TP53BP1
chr15	43783861	43783956	TP53BP1
chr15	43784194	43784298	TP53BP1
chr15	43784476	43784671	TP53BP1
chr15	43785229	43785246	TP53BP1
chr15	45003739	45003816	B2M
chr15	45007615	45007927	B2M
chr15	45008521	45008545	B2M
chr15	45433630	45433661	chr15:45.4Mb
chr15	49168825	49168856	SHC4
chr15	51204348	51204379	chr15:51.2Mb
chr15	54003075	54003106	WDR72
chr15	57364798	57364829	chr15:57.4Mb
chr15	60715784	60715815	NARG2
chr15	63363385	63363416	TPM1
chr15	66023783	66023814	chr15:66.0Mb
chr15	66679680	66679770	MAP2K1
chr15	66694266	66694290	MAP2K1
chr15	66727359	66727580	MAP2K1
chr15	66729078	66729235	MAP2K1
chr15	66735612	66735700	MAP2K1
chr15	66736988	66737050	MAP2K1
chr15	66774087	66774222	MAP2K1
chr15	66777322	66777534	MAP2K1
chr15	66779560	66779635	MAP2K1
chr15	66781547	66781619	MAP2K1
chr15	66782050	66782106	MAP2K1
chr15	66782834	66782958	MAP2K1;SNAPC5
chr15	69044360	69044391	chr15:69.0Mb
chr15	72072987	72073018	THSD4
chr15	75047410	75047441	CYP1A2
chr15	78211155	78211186	LOC645752
chr15	81582852	81582883	IL16
chr15	84488620	84488651	ADAMTSL3
chr15	87217472	87217503	chr15:87.2Mb
chr15	88420160	88420356	NTRK3
chr15	88423495	88423664	NTRK3
chr15	88428919	88428971	NTRK3
chr15	88459771	88459796	NTRK3
chr15	88472416	88472670	NTRK3
chr15	88476237	88476420	NTRK3
chr15	88483848	88483989	NTRK3
chr15	88522570	88522699	NTRK3
chr15	88524451	88524596	NTRK3
chr15	88576082	88576281	NTRK3
chr15	88669496	88669609	NTRK3
chr15	88670387	88670462	NTRK3
chr15	88671936	88671970	NTRK3
chr15	88678326	88678633	NTRK3
chr15	88679124	88679276	NTRK3
chr15	88679692	88679845	NTRK3
chr15	88680629	88680797	NTRK3
chr15	88690560	88690639	NTRK3
chr15	88726643	88726725	NTRK3
chr15	88727450	88727535	NTRK3
chr15	88799131	88799389	NTRK3
chr15	90126105	90126136	TICRR
chr15	90631822	90631854	IDH2
chr15	90631918	90631950	IDH2
chr15	93043529	93043560	chr15:93.0Mb
chr15	98504310	98504341	ARRDC4
chr15	99456237	99456268	chr15:99.5Mb
chr15	102192524	102192555	TM2D3
chr16	64442	64473	chr16:0.1Mb
chr16	338116	338253	AXIN1
chr16	339434	339612	AXIN1
chr16	341184	341302	AXIN1
chr16	343482	343723	AXIN1
chr16	347050	347231	AXIN1
chr16	347716	348256	AXIN1
chr16	349178	349209	AXIN1
chr16	354298	354446	AXIN1
chr16	359967	360074	AXIN1
chr16	364537	364688	AXIN1
chr16	396142	397111	AXIN1
chr16	2097817	2098071	NTHL1;TSC2
chr16	2098582	2098759	TSC2
chr16	2100395	2100492	TSC2
chr16	2103337	2103458	TSC2
chr16	2104291	2104446	TSC2
chr16	2105397	2105525	TSC2
chr16	2106191	2106250	TSC2
chr16	2106639	2106775	TSC2
chr16	2107100	2107184	TSC2
chr16	2108742	2108879	TSC2
chr16	2110665	2110819	TSC2
chr16	2111866	2112014	TSC2
chr16	2112492	2112606	TSC2
chr16	2112967	2113059	TSC2
chr16	2114267	2114433	TSC2
chr16	2115514	2115641	TSC2
chr16	2120451	2120584	TSC2
chr16	2121505	2121622	TSC2
chr16	2121779	2121940	TSC2
chr16	2122236	2122369	TSC2
chr16	2122844	2122989	TSC2
chr16	2124195	2124395	TSC2
chr16	2125794	2125898	TSC2
chr16	2126063	2126176	TSC2
chr16	2126486	2126591	TSC2
chr16	2127593	2127732	TSC2
chr16	2129027	2129202	TSC2
chr16	2129271	2129434	TSC2
chr16	2129552	2129675	TSC2
chr16	2130160	2130383	TSC2
chr16	2131590	2131804	TSC2
chr16	2132431	2132510	TSC2
chr16	2133690	2133822	TSC2
chr16	2134223	2134721	TSC2
chr16	2134946	2135032	TSC2
chr16	2135225	2135328	TSC2
chr16	2136188	2136385	TSC2
chr16	2136727	2136877	TSC2
chr16	2137858	2137947	TSC2
chr16	2138043	2138145	TSC2
chr16	2138222	2138331	TSC2
chr16	2138441	2138616	MIR1225;PKD1;TSC2
chr16	2213916	2214007	TRAF7
chr16	2215874	2215942	TRAF7
chr16	2218072	2218174	TRAF7
chr16	2220609	2220736	TRAF7
chr16	2221259	2221362	TRAF7
chr16	2221567	2221611	TRAF7
chr16	2222186	2222380	TRAF7
chr16	2222460	2222605	TRAF7
chr16	2223177	2223405	TRAF7
chr16	2223476	2223560	TRAF7
chr16	2223783	2223842	TRAF7
chr16	2223916	2224054	TRAF7
chr16	2224246	2224339	TRAF7
chr16	2225106	2225156	TRAF7
chr16	2225296	2225423	TRAF7
chr16	2225495	2225628	TRAF7
chr16	2225829	2225959	TRAF7
chr16	2226044	2226186	TRAF7
chr16	2226260	2226390	TRAF7
chr16	2226555	2226580	CASKIN1;TRAF7
chr16	3075983	3076014	THOC6
chr16	6533533	6533564	RBFOX1
chr16	10524640	10524674	ATF7IP2
chr16	11348694	11349340	SOCS1
chr16	12009288	12009319	GSPT1
chr16	15168744	15168775	chr16:15.2Mb
chr16	18858711	18858742	chr16:18.9Mb
chr16	21008674	21008705	DNAH3
chr16	23593599	23593701	NDUFAB1
chr16	23596651	23596749	NDUFAB1
chr16	23598512	23598645	NDUFAB1
chr16	23607438	23607616	NDUFAB1
chr16	23614774	23614995	PALB2
chr16	23619179	23619338	PALB2
chr16	23625319	23625417	PALB2
chr16	23632677	23632804	PALB2
chr16	23634284	23634456	PALB2
